projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
togglz;CassandraStateRepositoryTest;/home/luana-martins/.jnose_projects/togglz/cassandra/src/test/java/org/togglz/cassandra/CassandraStateRepositoryTest.java;/home/luana-martins/.jnose_projects/togglz/cassandra/src/main/java/org/togglz/cassandra/CassandraStateRepository.java;None;118;10;Lazy Test;testRemovingOfActivationStrategy, testEnabledStateSavingAndLoading, testActivationStrategySavingAndLoading, testFeatureSavingAndLoading;109, 102, 77, 72, 62, 52;109, 102, 77, 72, 62, 52
togglz;CassandraStateRepositoryTest;/home/luana-martins/.jnose_projects/togglz/cassandra/src/test/java/org/togglz/cassandra/CassandraStateRepositoryTest.java;/home/luana-martins/.jnose_projects/togglz/cassandra/src/main/java/org/togglz/cassandra/CassandraStateRepository.java;None;118;10;Lazy Test;testRemovingOfActivationStrategy, testEnabledStateSavingAndLoading, testActivationStrategySavingAndLoading, testFeatureSavingAndLoading;110, 104, 78, 74, 64, 54, 51;110, 104, 78, 74, 64, 54, 51
togglz;CassandraStateRepositoryTest;/home/luana-martins/.jnose_projects/togglz/cassandra/src/test/java/org/togglz/cassandra/CassandraStateRepositoryTest.java;/home/luana-martins/.jnose_projects/togglz/cassandra/src/main/java/org/togglz/cassandra/CassandraStateRepository.java;None;118;10;Eager Test;testFeatureSavingAndLoading;51, 52, 54;51, 52, 54
togglz;CassandraStateRepositoryTest;/home/luana-martins/.jnose_projects/togglz/cassandra/src/test/java/org/togglz/cassandra/CassandraStateRepositoryTest.java;/home/luana-martins/.jnose_projects/togglz/cassandra/src/main/java/org/togglz/cassandra/CassandraStateRepository.java;None;118;10;Eager Test;testActivationStrategySavingAndLoading;62, 64;62, 64
togglz;CassandraStateRepositoryTest;/home/luana-martins/.jnose_projects/togglz/cassandra/src/test/java/org/togglz/cassandra/CassandraStateRepositoryTest.java;/home/luana-martins/.jnose_projects/togglz/cassandra/src/main/java/org/togglz/cassandra/CassandraStateRepository.java;None;118;10;Eager Test;testEnabledStateSavingAndLoading;72, 74, 77, 78;72, 74, 77, 78
togglz;CassandraStateRepositoryTest;/home/luana-martins/.jnose_projects/togglz/cassandra/src/test/java/org/togglz/cassandra/CassandraStateRepositoryTest.java;/home/luana-martins/.jnose_projects/togglz/cassandra/src/main/java/org/togglz/cassandra/CassandraStateRepository.java;None;118;10;Eager Test;testAutomaticCreationOfColumnFamily;86, 89;86, 89
togglz;CassandraStateRepositoryTest;/home/luana-martins/.jnose_projects/togglz/cassandra/src/test/java/org/togglz/cassandra/CassandraStateRepositoryTest.java;/home/luana-martins/.jnose_projects/togglz/cassandra/src/main/java/org/togglz/cassandra/CassandraStateRepository.java;None;118;10;Eager Test;testRemovingOfActivationStrategy;102, 104, 109, 110;102, 104, 109, 110
togglz;CassandraStateRepositoryTest;/home/luana-martins/.jnose_projects/togglz/cassandra/src/test/java/org/togglz/cassandra/CassandraStateRepositoryTest.java;/home/luana-martins/.jnose_projects/togglz/cassandra/src/main/java/org/togglz/cassandra/CassandraStateRepository.java;None;118;10;Assertion Roulette;testFeatureSavingAndLoading;51-51;51-51
togglz;CassandraStateRepositoryTest;/home/luana-martins/.jnose_projects/togglz/cassandra/src/test/java/org/togglz/cassandra/CassandraStateRepositoryTest.java;/home/luana-martins/.jnose_projects/togglz/cassandra/src/main/java/org/togglz/cassandra/CassandraStateRepository.java;None;118;10;Assertion Roulette;testFeatureSavingAndLoading;54-54;54-54
togglz;CassandraStateRepositoryTest;/home/luana-martins/.jnose_projects/togglz/cassandra/src/test/java/org/togglz/cassandra/CassandraStateRepositoryTest.java;/home/luana-martins/.jnose_projects/togglz/cassandra/src/main/java/org/togglz/cassandra/CassandraStateRepository.java;None;118;10;Assertion Roulette;testActivationStrategySavingAndLoading;66-66;66-66
