projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
zxing;EANManufacturerOrgSupportTest;/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/oned/EANManufacturerOrgSupportTest.java;/home/luana-martins/.jnose_projects/zxing/core/src/main/java/com/google/zxing/oned/EANManufacturerOrgSupport.java;JUnit4;39;1;Assertion Roulette;testLookup;32-32;32-32
zxing;EANManufacturerOrgSupportTest;/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/oned/EANManufacturerOrgSupportTest.java;/home/luana-martins/.jnose_projects/zxing/core/src/main/java/com/google/zxing/oned/EANManufacturerOrgSupport.java;JUnit4;39;1;Assertion Roulette;testLookup;33-33;33-33
zxing;EANManufacturerOrgSupportTest;/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/oned/EANManufacturerOrgSupportTest.java;/home/luana-martins/.jnose_projects/zxing/core/src/main/java/com/google/zxing/oned/EANManufacturerOrgSupport.java;JUnit4;39;1;Assertion Roulette;testLookup;34-34;34-34
zxing;EANManufacturerOrgSupportTest;/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/oned/EANManufacturerOrgSupportTest.java;/home/luana-martins/.jnose_projects/zxing/core/src/main/java/com/google/zxing/oned/EANManufacturerOrgSupport.java;JUnit4;39;1;Assertion Roulette;testLookup;35-35;35-35
zxing;EANManufacturerOrgSupportTest;/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/oned/EANManufacturerOrgSupportTest.java;/home/luana-martins/.jnose_projects/zxing/core/src/main/java/com/google/zxing/oned/EANManufacturerOrgSupport.java;JUnit4;39;1;Assertion Roulette;testLookup;36-36;36-36
zxing;FieldParserTest;/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/oned/rss/expanded/decoders/FieldParserTest.java;/home/luana-martins/.jnose_projects/zxing/core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/FieldParser.java;JUnit4;54;3;Unknown Test;testParseField;45-48;45-48
zxing;FieldParserTest;/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/oned/rss/expanded/decoders/FieldParserTest.java;/home/luana-martins/.jnose_projects/zxing/core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/FieldParser.java;JUnit4;54;3;Unknown Test;testParseField2;50-53;50-53
zxing;BinaryUtilTest;/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/oned/rss/expanded/BinaryUtilTest.java;/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/oned/rss/expanded/BinaryUtil.java;None;90;5;Unknown Test;testBuildBitArrayFromString;43-60;43-60
zxing;BinaryUtilTest;/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/oned/rss/expanded/BinaryUtilTest.java;/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/oned/rss/expanded/BinaryUtil.java;None;90;5;Unknown Test;testBuildBitArrayFromStringWithoutSpaces;67-83;67-83
zxing;BitArrayBuilderTest;/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/oned/rss/expanded/BitArrayBuilderTest.java;/home/luana-martins/.jnose_projects/zxing/core/src/main/java/com/google/zxing/oned/rss/expanded/BitArrayBuilder.java;None;85;3;Unknown Test;testBuildBitArray1;44-51;44-51
zxing;DetectorTest;/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/aztec/detector/DetectorTest.java;/home/luana-martins/.jnose_projects/zxing/core/src/main/java/com/google/zxing/pdf417/detector/Detector.java;None;189;10;Unknown Test;testErrorInParameterLocatorZeroZero;44-49;44-49
zxing;DetectorTest;/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/aztec/detector/DetectorTest.java;/home/luana-martins/.jnose_projects/zxing/core/src/main/java/com/google/zxing/pdf417/detector/Detector.java;None;189;10;Unknown Test;testErrorInParameterLocatorCompact;51-54;51-54
zxing;DetectorTest;/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/aztec/detector/DetectorTest.java;/home/luana-martins/.jnose_projects/zxing/core/src/main/java/com/google/zxing/pdf417/detector/Detector.java;None;189;10;Unknown Test;testErrorInParameterLocatorNotCompact;56-60;56-60
zxing;DetectorTest;/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/aztec/detector/DetectorTest.java;/home/luana-martins/.jnose_projects/zxing/core/src/main/java/com/google/zxing/pdf417/detector/Detector.java;None;189;10;IgnoredTest;testErrorInParameterLocator;63-109;63-109
zxing;DetectorTest;/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/aztec/detector/DetectorTest.java;/home/luana-martins/.jnose_projects/zxing/core/src/main/java/com/google/zxing/pdf417/detector/Detector.java;None;189;10;Verbose Test;testErrorInParameterLocator;63-109;63-109
zxing;DetectorTest;/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/aztec/detector/DetectorTest.java;/home/luana-martins/.jnose_projects/zxing/core/src/main/java/com/google/zxing/pdf417/detector/Detector.java;None;189;10;Assertion Roulette;testErrorInParameterLocator;82-82;82-82
zxing;DetectorTest;/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/aztec/detector/DetectorTest.java;/home/luana-martins/.jnose_projects/zxing/core/src/main/java/com/google/zxing/pdf417/detector/Detector.java;None;189;10;Assertion Roulette;testErrorInParameterLocator;83-83;83-83
zxing;DetectorTest;/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/aztec/detector/DetectorTest.java;/home/luana-martins/.jnose_projects/zxing/core/src/main/java/com/google/zxing/pdf417/detector/Detector.java;None;189;10;Assertion Roulette;testErrorInParameterLocator;84-84;84-84
zxing;DetectorTest;/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/aztec/detector/DetectorTest.java;/home/luana-martins/.jnose_projects/zxing/core/src/main/java/com/google/zxing/pdf417/detector/Detector.java;None;189;10;Assertion Roulette;testErrorInParameterLocator;86-86;86-86
zxing;DetectorTest;/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/aztec/detector/DetectorTest.java;/home/luana-martins/.jnose_projects/zxing/core/src/main/java/com/google/zxing/pdf417/detector/Detector.java;None;189;10;Conditional Test Logic;testErrorInParameterLocator;74-74;74-74
zxing;DetectorTest;/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/aztec/detector/DetectorTest.java;/home/luana-martins/.jnose_projects/zxing/core/src/main/java/com/google/zxing/pdf417/detector/Detector.java;None;189;10;Conditional Test Logic;testErrorInParameterLocator;76-79;76-79
zxing;DetectorTest;/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/aztec/detector/DetectorTest.java;/home/luana-martins/.jnose_projects/zxing/core/src/main/java/com/google/zxing/pdf417/detector/Detector.java;None;189;10;Conditional Test Logic;testErrorInParameterLocator;73-87;73-87
zxing;DetectorTest;/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/aztec/detector/DetectorTest.java;/home/luana-martins/.jnose_projects/zxing/core/src/main/java/com/google/zxing/pdf417/detector/Detector.java;None;189;10;Conditional Test Logic;testErrorInParameterLocator;72-88;72-88
zxing;DetectorTest;/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/aztec/detector/DetectorTest.java;/home/luana-martins/.jnose_projects/zxing/core/src/main/java/com/google/zxing/pdf417/detector/Detector.java;None;189;10;Conditional Test Logic;testErrorInParameterLocator;93-96;93-96
zxing;DetectorTest;/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/aztec/detector/DetectorTest.java;/home/luana-martins/.jnose_projects/zxing/core/src/main/java/com/google/zxing/pdf417/detector/Detector.java;None;189;10;Conditional Test Logic;testErrorInParameterLocator;97-99;97-99
zxing;DetectorTest;/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/aztec/detector/DetectorTest.java;/home/luana-martins/.jnose_projects/zxing/core/src/main/java/com/google/zxing/pdf417/detector/Detector.java;None;189;10;Conditional Test Logic;testErrorInParameterLocator;90-106;90-106
zxing;DetectorTest;/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/aztec/detector/DetectorTest.java;/home/luana-martins/.jnose_projects/zxing/core/src/main/java/com/google/zxing/pdf417/detector/Detector.java;None;189;10;Conditional Test Logic;testErrorInParameterLocator;70-107;70-107
zxing;DetectorTest;/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/aztec/detector/DetectorTest.java;/home/luana-martins/.jnose_projects/zxing/core/src/main/java/com/google/zxing/pdf417/detector/Detector.java;None;189;10;Conditional Test Logic;testErrorInParameterLocator;69-108;69-108
