file,TestFileName,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,App,ProductionFileName,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
/home/luana-martins/.jnose_projects/ExoPlayer/testutils/src/test/java/com/google/android/exoplayer2/testutil/FakeDataSetTest.java,FakeDataSetTest,10,10,1,29,3,0.0,0.0,3,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,56,0,3,3,0,0,2,46,14,3,12,2,0,0,1,29,17,0,ExoPlayer,/home/luana-martins/.jnose_projects/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/FakeDataSet.java,7,2,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,5
/home/luana-martins/.jnose_projects/ExoPlayer/testutils/src/test/java/com/google/android/exoplayer2/testutil/AdditionalFailureInfoTest.java,AdditionalFailureInfoTest,8,6,1,22,0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,0,1,2,0,0,2,0,0,73,0,0,0,0,0,8,2,9,1,15,1,0,1,9,45,17,0,ExoPlayer,/home/luana-martins/.jnose_projects/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/AdditionalFailureInfo.java,18,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,2
/home/luana-martins/.jnose_projects/ExoPlayer/testutils/src/test/java/com/google/android/exoplayer2/testutil/FakeDataSourceTest.java,FakeDataSourceTest,13,19,1,24,0,0.0,0.0,10,2,8,2,0,0,8,0,0,0,7,7,0,7,0,0,5,0,19,159,0,4,0,5,0,7,88,24,1,21,1,0,1,0,52,17,0,ExoPlayer,/home/luana-martins/.jnose_projects/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/FakeDataSource.java,38,7,0,0,0,0,0,27,3,0,1,0,0,3,0,0,12,5,0,0,8
/home/luana-martins/.jnose_projects/ExoPlayer/testutils/src/test/java/com/google/android/exoplayer2/testutil/FakeAdaptiveDataSetTest.java,FakeAdaptiveDataSetTest,11,14,1,26,3,0.0,0.0,6,2,3,3,0,0,3,0,0,0,2,2,0,2,0,0,2,0,3,70,2,8,0,0,1,0,47,24,23,22,2,0,0,0,54,17,0,ExoPlayer,/home/luana-martins/.jnose_projects/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/FakeAdaptiveDataSet.java,15,3,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,5
/home/luana-martins/.jnose_projects/ExoPlayer/testutils/src/test/java/com/google/android/exoplayer2/testutil/FakeClockTest.java,FakeClockTest,11,13,2,22,36,0.0,0.0,9,3,6,3,0,0,6,0,0,0,1,1,0,1,0,0,1,0,12,137,0,4,0,0,0,1,54,21,0,15,1,0,2,0,51,17,0,ExoPlayer,/home/luana-martins/.jnose_projects/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/FakeClock.java,15,6,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,9
/home/luana-martins/.jnose_projects/ExoPlayer/testutils/src/test/java/com/google/android/exoplayer2/testutil/truth/SpannedSubjectTest.java,SpannedSubjectTest,33,88,1,76,2443,0.0,0.0,86,7,79,7,0,0,79,0,0,0,11,11,0,11,0,0,11,0,166,401,4,0,0,0,4,116,21,82,15,123,2,0,2,25,123,1,0,ExoPlayer,/home/luana-martins/.jnose_projects/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/truth/SpannedSubject.java,67,51,0,0,36,0,0,0,0,0,0,0,0,3,0,0,13,0,0,0,63
/home/luana-martins/.jnose_projects/ExoPlayer/testutils/src/test/java/com/google/android/exoplayer2/testutil/WebServerDispatcherTest.java,WebServerDispatcherTest,12,29,1,28,0,0.0,0.0,29,0,29,0,0,0,29,0,0,0,14,13,0,14,0,0,12,0,24,300,0,0,0,28,0,157,52,102,0,103,1,0,0,0,108,1,0,ExoPlayer,/home/luana-martins/.jnose_projects/ExoPlayer/testutils/src/main/java/com/google/android/exoplayer2/testutil/WebServerDispatcher.java,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,1
/home/luana-martins/.jnose_projects/ExoPlayer/extensions/okhttp/src/test/java/com/google/android/exoplayer2/ext/okhttp/OkHttpDataSourceTest.java,OkHttpDataSourceTest,13,3,1,22,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,31,4,19,0,19,0,0,0,1,70,1,0,ExoPlayer,/home/luana-martins/.jnose_projects/ExoPlayer/extensions/okhttp/src/main/java/com/google/android/exoplayer2/ext/okhttp/OkHttpDataSource.java,10,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
/home/luana-martins/.jnose_projects/ExoPlayer/extensions/cronet/src/test/java/com/google/android/exoplayer2/ext/cronet/ByteArrayUploadDataProviderTest.java,ByteArrayUploadDataProviderTest,8,5,1,16,0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,4,1,0,4,0,0,1,0,4,38,0,0,0,0,0,0,14,6,3,6,0,0,0,0,35,17,0,ExoPlayer,/home/luana-martins/.jnose_projects/ExoPlayer/extensions/cronet/src/main/java/com/google/android/exoplayer2/ext/cronet/ByteArrayUploadDataProvider.java,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1
/home/luana-martins/.jnose_projects/ExoPlayer/extensions/cronet/src/test/java/com/google/android/exoplayer2/ext/cronet/CronetDataSourceTest.java,CronetDataSourceTest,33,97,1,144,0,0.0,0.0,76,6,59,17,0,0,59,0,0,0,21,8,0,21,0,0,8,0,86,1059,23,3,2,15,1,102,367,184,25,147,2,7,0,13,251,17,0,ExoPlayer,/home/luana-martins/.jnose_projects/ExoPlayer/extensions/cronet/src/main/java/com/google/android/exoplayer2/ext/cronet/CronetDataSource.java,98,36,0,0,11,0,0,1,0,0,5,0,0,8,0,0,19,15,0,0,11
