file,TestFileName,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,App,ProductionFileName,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
/home/luana-martins/.jnose_projects/HikariCP/src/test/java/com/zaxxer/hikari/metrics/dropwizard/CodaHaleMetricsTrackerTest.java,CodaHaleMetricsTrackerTest,8,2,1,3,0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,1,1,0,0,0,0,0,20,0,0,0,0,0,11,1,1,0,2,0,0,0,0,15,1,0,HikariCP,/home/luana-martins/.jnose_projects/HikariCP/src/main/java/com/zaxxer/hikari/metrics/dropwizard/CodaHaleMetricsTracker.java,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/luana-martins/.jnose_projects/HikariCP/src/test/java/com/zaxxer/hikari/metrics/micrometer/MicrometerMetricsTrackerTest.java,MicrometerMetricsTrackerTest,6,2,1,7,0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,20,0,0,0,0,0,31,1,2,0,2,0,0,0,0,16,1,0,HikariCP,/home/luana-martins/.jnose_projects/HikariCP/src/main/java/com/zaxxer/hikari/metrics/micrometer/MicrometerMetricsTracker.java,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/luana-martins/.jnose_projects/HikariCP/src/test/java/com/zaxxer/hikari/metrics/prometheus/PrometheusHistogramMetricsTrackerFactoryTest.java,PrometheusHistogramMetricsTrackerFactoryTest,8,8,1,13,21,0.0,0.0,7,0,3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,49,2,1,0,0,0,14,1,6,0,6,1,1,0,0,31,1,0,HikariCP,/home/luana-martins/.jnose_projects/HikariCP/src/main/java/com/zaxxer/hikari/metrics/prometheus/PrometheusHistogramMetricsTrackerFactory.java,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
/home/luana-martins/.jnose_projects/HikariCP/src/test/java/com/zaxxer/hikari/metrics/prometheus/PrometheusMetricsTrackerFactoryTest.java,PrometheusMetricsTrackerFactoryTest,7,7,1,12,15,0.0,0.0,6,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,42,1,1,0,0,0,14,2,6,0,6,1,0,0,0,30,1,0,HikariCP,/home/luana-martins/.jnose_projects/HikariCP/src/main/java/com/zaxxer/hikari/metrics/prometheus/PrometheusMetricsTrackerFactory.java,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
/home/luana-martins/.jnose_projects/HikariCP/src/test/java/com/zaxxer/hikari/metrics/prometheus/PrometheusMetricsTrackerTest.java,PrometheusMetricsTrackerTest,10,12,1,20,3,0.0,0.0,10,0,9,1,0,0,9,0,0,0,6,4,0,6,0,0,4,0,8,153,0,1,0,10,0,57,36,39,3,39,3,0,0,0,85,1,0,HikariCP,/home/luana-martins/.jnose_projects/HikariCP/src/main/java/com/zaxxer/hikari/metrics/prometheus/PrometheusMetricsTracker.java,30,1,0,0,3,0,0,18,0,0,0,0,0,2,0,0,2,4,0,0,0
/home/luana-martins/.jnose_projects/HikariCP/src/test/java/com/zaxxer/hikari/metrics/prometheus/PrometheusHistogramMetricsTrackerTest.java,PrometheusHistogramMetricsTrackerTest,8,9,1,13,8,0.0,0.0,8,0,7,1,0,0,7,0,0,0,4,2,0,4,0,0,2,0,6,92,0,0,0,8,0,21,15,27,2,27,3,0,0,0,67,1,0,HikariCP,/home/luana-martins/.jnose_projects/HikariCP/src/main/java/com/zaxxer/hikari/metrics/prometheus/PrometheusHistogramMetricsTracker.java,5,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0
/home/luana-martins/.jnose_projects/HikariCP/src/test/java/com/zaxxer/hikari/metrics/prometheus/HikariCPCollectorTest.java,HikariCPCollectorTest,14,10,1,23,0,0.0,0.0,9,0,7,2,0,0,7,0,0,0,1,0,0,1,0,0,0,0,4,141,2,0,1,7,0,86,45,29,0,20,2,1,0,1,58,1,0,HikariCP,/home/luana-martins/.jnose_projects/HikariCP/src/main/java/com/zaxxer/hikari/metrics/prometheus/HikariCPCollector.java,44,1,0,0,0,0,0,37,0,0,0,0,0,1,0,0,0,5,0,0,0
/home/luana-martins/.jnose_projects/HikariCP/src/test/java/com/zaxxer/hikari/pool/TestConcurrentBag.java,TestConcurrentBag,10,4,1,28,0,0.0,0.0,3,2,3,0,0,0,3,0,0,0,2,2,0,2,0,0,0,0,4,52,0,0,0,2,0,6,7,10,0,11,2,0,0,1,47,1,0,HikariCP,/home/luana-martins/.jnose_projects/HikariCP/src/main/java/com/zaxxer/hikari/util/ConcurrentBag.java,7,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,1,0,0,0
/home/luana-martins/.jnose_projects/HikariCP/src/test/java/com/zaxxer/hikari/pool/MetricsTrackerTest.java,MetricsTrackerTest,4,2,1,15,0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,2,0,1,4,6,1,8,3,0,1,2,38,1,0,HikariCP,/home/luana-martins/.jnose_projects/HikariCP/src/main/java/com/zaxxer/hikari/metrics/MetricsTracker.java,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
/home/luana-martins/.jnose_projects/HikariCP/src/test/java/com/zaxxer/hikari/util/UtilityElfTest.java,UtilityElfTest,2,4,1,2,6,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,16,0,0,0,0,0,4,2,2,0,2,0,0,0,0,20,1,0,HikariCP,/home/luana-martins/.jnose_projects/HikariCP/src/main/java/com/zaxxer/hikari/util/UtilityElf.java,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
