file,TestFileName,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,App,ProductionFileName,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-parameter-flow-control/src/test/java/com/alibaba/csp/sentinel/slots/block/flow/param/ParamFlowSlotTest.java,ParamFlowSlotTest,14,6,1,27,4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,18,62,1,0,0,1,0,14,22,14,0,14,1,0,0,0,53,1,0,Sentinel,/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-parameter-flow-control/src/main/java/com/alibaba/csp/sentinel/slots/block/flow/param/ParamFlowSlot.java,7,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,1
/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-parameter-flow-control/src/test/java/com/alibaba/csp/sentinel/slots/block/flow/param/ParameterMetricTest.java,ParameterMetricTest,6,20,1,25,3,0.0,0.0,3,0,2,1,0,0,2,0,0,0,3,3,0,3,0,0,3,0,4,126,0,5,0,0,0,3,48,20,0,17,2,0,0,0,53,1,0,Sentinel,/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-parameter-flow-control/src/main/java/com/alibaba/csp/sentinel/slots/block/flow/param/ParameterMetric.java,22,2,0,0,1,0,0,10,9,0,0,1,0,2,0,0,3,0,0,0,2
/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-parameter-flow-control/src/test/java/com/alibaba/csp/sentinel/slots/block/flow/param/ParameterMetricStorageTest.java,ParameterMetricStorageTest,8,4,1,13,6,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,29,0,0,0,0,0,1,3,6,1,6,0,0,0,0,31,1,0,Sentinel,/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-parameter-flow-control/src/main/java/com/alibaba/csp/sentinel/slots/block/flow/param/ParameterMetricStorage.java,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-parameter-flow-control/src/test/java/com/alibaba/csp/sentinel/slots/block/flow/param/ParamFlowRuleUtilTest.java,ParamFlowRuleUtilTest,4,3,1,22,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,21,52,0,0,0,0,0,8,23,27,0,27,0,0,0,0,40,1,0,Sentinel,/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-parameter-flow-control/src/main/java/com/alibaba/csp/sentinel/slots/block/flow/param/ParamFlowRuleUtil.java,17,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-parameter-flow-control/src/test/java/com/alibaba/csp/sentinel/slots/block/flow/param/ParamFlowCheckerTest.java,ParamFlowCheckerTest,14,8,1,25,28,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,28,139,0,0,0,0,0,25,50,57,7,57,0,0,1,0,73,1,0,Sentinel,/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-parameter-flow-control/src/main/java/com/alibaba/csp/sentinel/slots/block/flow/param/ParamFlowChecker.java,17,1,0,0,0,0,0,18,0,0,0,0,0,3,0,0,1,0,0,0,4
/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-parameter-flow-control/src/test/java/com/alibaba/csp/sentinel/slots/block/flow/param/ParamFlowRuleManagerTest.java,ParamFlowRuleManagerTest,8,6,1,28,15,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,34,76,0,0,0,0,0,8,29,24,0,24,0,0,0,0,54,1,0,Sentinel,/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-parameter-flow-control/src/main/java/com/alibaba/csp/sentinel/slots/block/flow/param/ParamFlowRuleManager.java,22,2,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,2
/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-parameter-flow-control/src/test/java/com/alibaba/csp/sentinel/slots/statistic/data/ParamMapBucketTest.java,ParamMapBucketTest,2,3,1,4,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,40,0,1,0,0,0,4,29,7,1,7,1,0,0,0,22,1,0,Sentinel,/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-parameter-flow-control/src/main/java/com/alibaba/csp/sentinel/slots/statistic/data/ParamMapBucket.java,15,2,0,0,0,0,0,15,1,0,0,0,0,1,0,0,1,0,0,0,3
/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-datasource-etcd/src/test/java/com/alibaba/csp/sentinel/datasource/etcd/EtcdDataSourceTest.java,EtcdDataSourceTest,12,8,1,24,0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,9,39,0,0,4,0,0,33,8,10,2,11,0,0,0,2,37,1,0,Sentinel,/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-datasource-etcd/src/main/java/com/alibaba/csp/sentinel/datasource/etcd/EtcdDataSource.java,8,1,0,2,0,0,0,4,0,0,0,2,0,1,0,0,1,0,0,0,0
/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-datasource-eureka/src/test/java/com/alibaba/csp/sentinel/datasource/eureka/EurekaDataSourceTest.java,EurekaDataSourceTest,11,2,1,9,0,,,1,0,1,0,0,0,1,0,0,0,4,1,0,4,0,0,1,0,3,25,0,0,0,0,0,6,2,3,1,6,0,2,0,0,26,1,0,Sentinel,/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-datasource-eureka/src/main/java/com/alibaba/csp/sentinel/datasource/eureka/EurekaDataSource.java,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-datasource-consul/src/test/java/com/alibaba/csp/sentinel/datasource/consul/ConsulDataSourceTest.java,ConsulDataSourceTest,13,8,1,22,3,0.0,0.0,6,0,4,2,0,0,4,0,0,0,6,0,0,6,0,0,2,0,4,49,1,0,2,0,0,5,2,13,1,14,1,1,0,1,39,1,0,Sentinel,/home/luana-martins/.jnose_projects/Sentinel/sentinel-extension/sentinel-datasource-consul/src/main/java/com/alibaba/csp/sentinel/datasource/consul/ConsulDataSource.java,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
