file,TestFileName,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,App,ProductionFileName,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
/home/luana-martins/.jnose_projects/calcite/elasticsearch/src/test/java/org/apache/calcite/adapter/elasticsearch/ElasticsearchJsonTest.java,ElasticsearchJsonTest,10,9,1,36,0,0.0,0.0,9,0,1,0,0,8,9,0,0,0,1,0,0,1,0,0,0,0,4,110,0,0,0,0,2,82,50,24,4,24,0,0,0,0,58,0,0,calcite,/home/luana-martins/.jnose_projects/calcite/elasticsearch/src/main/java/org/apache/calcite/adapter/elasticsearch/ElasticsearchJson.java,61,5,0,0,0,0,0,19,0,0,0,0,0,1,0,0,0,0,0,0,3
/home/luana-martins/.jnose_projects/calcite/elasticsearch/src/test/java/org/apache/calcite/adapter/elasticsearch/ScrollingTest.java,ScrollingTest,15,8,1,29,2,0.0,0.0,4,1,1,2,0,1,2,0,0,0,3,3,1,2,0,0,3,0,8,49,1,2,1,1,0,18,11,14,9,15,2,1,0,1,106,0,0,calcite,/home/luana-martins/.jnose_projects/calcite/elasticsearch/src/main/java/org/apache/calcite/adapter/elasticsearch/Scrolling.java,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
/home/luana-martins/.jnose_projects/calcite/elasticsearch/src/test/java/org/apache/calcite/adapter/elasticsearch/ElasticsearchVersionTest.java,ElasticsearchVersionTest,3,3,1,5,1,,,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,22,32,0,0,0,1,0,21,0,0,0,0,1,0,0,0,18,0,0,calcite,/home/luana-martins/.jnose_projects/calcite/elasticsearch/src/main/java/org/apache/calcite/adapter/elasticsearch/ElasticsearchVersion.java,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/luana-martins/.jnose_projects/calcite/elasticsearch/src/test/java/org/apache/calcite/adapter/elasticsearch/MatchTest.java,MatchTest,27,4,1,40,1,0.0,0.0,3,1,1,1,0,1,2,0,0,0,3,3,1,2,0,0,3,0,7,63,1,0,0,1,0,26,3,21,3,21,1,2,0,0,125,0,0,calcite,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/rel/core/Match.java,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
/home/luana-martins/.jnose_projects/calcite/elasticsearch/src/test/java/org/apache/calcite/adapter/elasticsearch/QueryBuildersTest.java,QueryBuildersTest,8,8,1,37,28,0.0,0.0,8,0,0,1,0,7,7,0,0,0,1,0,0,1,0,0,1,0,59,72,1,0,0,0,0,102,33,6,0,6,0,0,0,0,54,0,0,calcite,/home/luana-martins/.jnose_projects/calcite/elasticsearch/src/main/java/org/apache/calcite/adapter/elasticsearch/QueryBuilders.java,44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
/home/luana-martins/.jnose_projects/calcite/core/src/test/java/org/apache/calcite/tools/FrameworksTest.java,FrameworksTest,49,18,4,96,55,0.0,0.0,11,0,0,2,0,9,9,0,0,0,0,0,0,0,0,0,0,0,43,249,2,0,0,2,0,38,17,69,5,76,3,2,3,3,282,1,0,calcite,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/tools/Frameworks.java,41,6,0,0,4,0,0,8,1,0,0,9,0,3,0,0,0,2,0,0,32
/home/luana-martins/.jnose_projects/calcite/core/src/test/java/org/apache/calcite/tools/PlannerTest.java,PlannerTest,63,76,16,111,2415,0.0,0.0,70,0,1,13,0,56,57,0,0,0,0,0,0,0,0,0,0,0,87,573,5,1,1,6,0,409,31,215,82,210,1,0,6,1,563,0,0,calcite,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/tools/Planner.java,22,0,0,0,36,0,0,0,0,0,0,50,13,5,0,0,0,5,0,0,37
/home/luana-martins/.jnose_projects/calcite/core/src/test/java/org/apache/calcite/sql/SqlNodeTest.java,SqlNodeTest,8,7,1,19,6,,,4,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9,34,1,1,1,0,0,2,7,2,1,2,2,0,0,0,42,0,0,calcite,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/sql/SqlNode.java,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
/home/luana-martins/.jnose_projects/calcite/core/src/test/java/org/apache/calcite/sql/validate/SqlValidatorUtilTest.java,SqlValidatorUtilTest,12,14,1,25,36,0.0,0.0,9,1,0,1,0,8,8,0,0,0,0,0,0,0,0,0,0,0,17,87,0,3,0,1,0,55,14,22,1,22,2,0,0,0,49,0,0,calcite,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/sql/validate/SqlValidatorUtil.java,16,0,0,0,0,0,0,10,0,0,0,8,0,0,0,0,0,1,0,0,1
/home/luana-martins/.jnose_projects/calcite/core/src/test/java/org/apache/calcite/sql/test/SqlTypeNameTest.java,SqlTypeNameTest,2,36,1,2,630,0.0,0.0,36,0,0,0,0,36,36,0,0,0,0,0,0,0,0,0,0,0,36,146,0,0,0,0,0,36,0,36,0,36,0,0,0,0,55,0,0,calcite,/home/luana-martins/.jnose_projects/calcite/core/src/main/java/org/apache/calcite/sql/type/SqlTypeName.java,36,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,1
