cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,Assertion Roulette,Eager Test,Conditional Test Logic,Verbose Test
3,5,1,9,4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,1,1,0,0,0,1,0,0,46,0,0,0,0,0,14,0,17,2,17,0,1,0,0,41,1,0,1,1,0,0
3,2,1,10,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,4,1,3,0,4,0,0,0,1,19,1,0,1,0,0,0
4,2,1,2,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,3,0,3,0,0,0,0,13,1,0,1,0,0,0
2,4,1,7,6,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,16,0,0,0,0,0,5,0,2,0,2,0,0,0,0,21,1,0,1,0,0,0
2,1,1,3,0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,1,0,1,0,0,0,0,11,1,0,1,1,0,0
5,9,1,11,6,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,71,0,4,0,0,0,4,41,20,3,15,3,0,0,0,21,1,0,1,1,1,0
9,7,2,31,21,0.0,0.0,7,1,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,9,61,0,0,0,0,0,60,6,8,5,11,1,0,0,3,68,1,0,1,0,0,0
14,9,1,29,34,0.0,0.0,9,2,5,4,0,0,5,0,0,0,4,4,0,4,0,0,4,0,7,46,2,0,0,0,0,79,10,10,4,11,0,0,0,1,116,1,0,1,0,0,1
7,4,1,19,3,0.0,0.0,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,30,0,0,0,1,0,10,11,5,0,5,2,0,0,1,31,1,0,1,0,0,0
11,21,1,46,15,0.0,0.0,15,0,12,3,0,0,12,0,0,0,2,0,0,2,0,0,1,0,14,148,2,1,0,7,0,37,5,25,1,33,3,2,0,8,104,1,0,1,0,0,0
8,6,2,23,15,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,12,59,0,0,0,0,0,24,2,9,1,9,0,0,0,0,76,1,0,1,0,0,0
3,7,1,5,0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24,17,0,2,1,0,0,46,8,2,0,2,3,0,0,0,7,1,0,1,0,1,0
7,4,2,16,6,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,33,0,0,0,0,0,9,3,5,0,5,0,0,0,0,44,1,0,1,0,0,0
10,15,2,30,35,0.0,0.0,11,0,10,1,0,0,10,0,0,0,2,0,0,2,0,0,0,0,18,103,0,1,2,1,4,53,12,19,1,19,1,1,0,0,117,1,0,1,0,1,0
7,4,2,16,6,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,33,0,0,0,0,0,11,3,5,1,5,0,0,0,0,53,1,0,1,0,0,0
