file,TestFileName,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,App,ProductionFileName,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
/home/luana-martins/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/ByteOrderParserTest.java,ByteOrderParserTest,3,4,1,5,6,0.0,0.0,4,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,14,1,0,0,0,0,3,0,0,0,0,0,0,0,1,14,1,0,commons-io,/home/luana-martins/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/ByteOrderParser.java,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/home/luana-martins/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/output/ProxyCollectionWriterTest.java,ProxyCollectionWriterTest,7,50,1,34,253,0.0,0.0,23,0,23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,1,373,0,6,0,24,0,63,115,95,25,91,2,0,0,0,63,1,0,commons-io,/home/luana-martins/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/output/ProxyCollectionWriter.java,54,23,0,0,0,0,0,42,6,0,0,0,24,1,0,0,0,24,0,0,5
/home/luana-martins/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/output/StringBuilderWriterTest.java,StringBuilderWriterTest,3,13,1,16,66,0.0,0.0,12,0,12,0,0,0,12,0,0,0,1,1,0,1,0,0,1,0,0,96,0,0,0,13,0,33,13,14,1,14,2,0,0,0,36,1,0,commons-io,/home/luana-martins/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/output/StringBuilderWriter.java,19,12,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,12,0,0,4
/home/luana-martins/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/output/TaggedWriterTest.java,TaggedWriterTest,7,12,1,17,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,84,0,0,0,11,0,11,8,6,0,6,2,0,0,0,26,1,0,commons-io,/home/luana-martins/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/output/TaggedWriter.java,12,2,0,0,0,0,0,4,0,0,0,0,0,1,0,0,4,5,0,0,3
/home/luana-martins/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/output/ClosedOutputStreamTest.java,ClosedOutputStreamTest,2,4,1,3,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,2,0,2,0,2,0,2,1,0,0,0,20,1,0,commons-io,/home/luana-martins/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/output/ClosedOutputStream.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
/home/luana-martins/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/output/NullPrintStreamTest.java,NullPrintStreamTest,3,3,1,7,3,0.0,0.0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,2,0,3,5,2,0,2,1,0,0,0,25,1,0,commons-io,/home/luana-martins/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/output/NullPrintStream.java,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
/home/luana-martins/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/output/ChunkedOutputStreamTest.java,ChunkedOutputStreamTest,6,4,1,6,6,0.0,0.0,4,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0,2,0,1,7,6,2,6,1,1,0,1,31,1,0,commons-io,/home/luana-martins/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/output/ChunkedOutputStream.java,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2
/home/luana-martins/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/output/LockableFileWriterTest.java,LockableFileWriterTest,4,15,1,9,0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,6,0,1,5,0,0,0,0,1,116,0,0,0,11,0,15,0,19,2,20,2,0,0,0,68,1,0,commons-io,/home/luana-martins/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/output/LockableFileWriter.java,42,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,17,8,0,0,1
/home/luana-martins/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/output/ProxyOutputStreamTest.java,ProxyOutputStreamTest,5,3,1,5,0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,25,0,0,0,0,0,0,2,3,0,3,0,1,0,0,25,1,0,commons-io,/home/luana-martins/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/output/ProxyOutputStream.java,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
/home/luana-martins/.jnose_projects/commons-io/src/test/java/org/apache/commons/io/output/QueueOutputStreamTest.java,QueueOutputStreamTest,6,7,1,22,9,0.0,0.0,6,2,5,1,0,0,5,0,0,0,1,1,0,1,0,0,1,0,9,65,5,0,0,4,0,6,3,16,0,16,3,0,0,6,44,1,0,commons-io,/home/luana-martins/.jnose_projects/commons-io/src/main/java/org/apache/commons/io/output/QueueOutputStream.java,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
