file,TestFileName,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,App,ProductionFileName,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
/home/luana-martins/.jnose_projects/dbeaver/test/org.jkiss.dbeaver.test.platform/src/org/jkiss/dbeaver/data/transfer/StreamTransferUtilsTest.java,StreamTransferUtilsTest,2,1,1,3,0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,11,0,1,0,1,0,0,0,0,8,1,0,dbeaver,/home/luana-martins/.jnose_projects/dbeaver/plugins/org.jkiss.dbeaver.data.transfer/src/org/jkiss/dbeaver/tools/transfer/stream/StreamTransferUtils.java,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
/home/luana-martins/.jnose_projects/dbeaver/test/org.jkiss.dbeaver.test.platform/src/org/jkiss/dbeaver/model/sql/format/tokenized/SQLFormatterTokenizedTest.java,SQLFormatterTokenizedTest,11,16,1,20,0,0.0,0.0,16,0,14,2,0,0,14,0,0,0,6,0,0,5,0,1,1,0,1,118,2,0,0,0,0,147,0,45,11,48,0,0,0,0,163,1,0,dbeaver,/home/luana-martins/.jnose_projects/dbeaver/plugins/org.jkiss.dbeaver.model.sql/src/org/jkiss/dbeaver/model/sql/format/tokenized/SQLFormatterTokenized.java,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/home/luana-martins/.jnose_projects/dbeaver/test/org.jkiss.dbeaver.test.platform/src/org/jkiss/dbeaver/model/sql/parser/SQLScriptParserTest.java,SQLScriptParserTest,22,7,1,25,9,0.0,0.0,6,0,3,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,42,2,1,0,0,0,222,2,10,12,13,1,0,0,1,124,1,0,dbeaver,/home/luana-martins/.jnose_projects/dbeaver/plugins/org.jkiss.dbeaver.model.sql/src/org/jkiss/dbeaver/model/sql/parser/SQLScriptParser.java,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
/home/luana-martins/.jnose_projects/dbeaver/test/org.jkiss.dbeaver.test.platform/src/org/jkiss/dbeaver/model/impl/data/transformers/EpochTimeAttributeTransformerTest.java,EpochTimeAttributeTransformerTest,13,11,2,12,13,0.0,0.0,7,0,4,3,0,0,4,0,0,0,9,3,0,9,0,0,7,0,2,140,2,0,2,2,0,28,24,10,0,10,1,0,1,0,57,1,0,dbeaver,/home/luana-martins/.jnose_projects/dbeaver/plugins/org.jkiss.dbeaver.model/src/org/jkiss/dbeaver/model/impl/data/transformers/EpochTimeAttributeTransformer.java,22,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0
/home/luana-martins/.jnose_projects/dbeaver/test/org.jkiss.dbeaver.test.platform/src/org/jkiss/dbeaver/model/DBUtilsTest.java,DBUtilsTest,8,3,1,5,1,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,0,0,2,0,0,3,25,0,0,0,0,0,6,0,1,0,2,0,1,0,0,24,1,0,dbeaver,/home/luana-martins/.jnose_projects/dbeaver/plugins/org.jkiss.dbeaver.model/src/org/jkiss/dbeaver/model/DBUtils.java,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
/home/luana-martins/.jnose_projects/dbeaver/test/org.jkiss.dbeaver.test.platform/src/org/jkiss/utils/SecurityUtilsTest.java,SecurityUtilsTest,1,1,1,0,0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,dbeaver,/home/luana-martins/.jnose_projects/dbeaver/bundles/org.jkiss.utils/src/org/jkiss/utils/SecurityUtils.java,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
/home/luana-martins/.jnose_projects/dbeaver/test/org.jkiss.dbeaver.test.platform/src/org/jkiss/utils/BOMInputStreamTest.java,BOMInputStreamTest,7,6,1,9,6,0.0,0.0,4,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,28,2,1,0,0,1,3,14,7,0,6,2,0,0,0,32,1,0,dbeaver,/home/luana-martins/.jnose_projects/dbeaver/bundles/org.jkiss.utils/src/org/jkiss/utils/io/BOMInputStream.java,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/home/luana-martins/.jnose_projects/dbeaver/test/org.jkiss.dbeaver.test.platform/src/org/jkiss/utils/ByteNumberFormatTest.java,ByteNumberFormatTest,2,2,1,3,0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,5,5,0,5,0,0,5,0,0,48,0,0,0,0,0,34,31,7,28,7,0,0,0,0,15,1,0,dbeaver,/home/luana-martins/.jnose_projects/dbeaver/bundles/org.jkiss.utils/src/org/jkiss/utils/ByteNumberFormat.java,34,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
/home/luana-martins/.jnose_projects/dbeaver/test/org.jkiss.dbeaver.test.platform/src/org/jkiss/utils/CommonUtilsTest.java,CommonUtilsTest,7,64,1,91,2016,0.0,0.0,64,0,64,0,0,0,64,0,0,0,1,0,1,0,0,0,1,0,199,381,0,0,0,0,0,252,78,32,0,32,0,0,2,0,116,1,0,dbeaver,/home/luana-martins/.jnose_projects/dbeaver/bundles/org.jkiss.utils/src/org/jkiss/utils/CommonUtils.java,198,3,0,0,0,0,0,37,0,0,0,0,6,0,0,0,0,0,0,0,7
/home/luana-martins/.jnose_projects/dbeaver/test/org.jkiss.dbeaver.test.platform/src/org/jkiss/utils/BeanUtilsTest.java,BeanUtilsTest,7,19,2,28,171,0.0,0.0,19,0,19,0,0,0,19,0,0,0,1,0,1,0,0,0,1,0,68,182,0,0,0,0,0,62,21,7,0,7,0,5,2,1,44,1,0,dbeaver,/home/luana-martins/.jnose_projects/dbeaver/bundles/org.jkiss.utils/src/org/jkiss/utils/BeanUtils.java,67,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,3
