cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,AR,ET,CTL,VT
18,21,1,68,41,0.0,0.0,18,0,9,9,0,0,10,0,0,0,10,1,0,10,0,0,8,0,10,187,0,0,0,1,0,71,26,31,0,33,1,0,1,3,103,1,0,0,0,0,0
6,3,1,12,0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,13,20,0,0,0,0,0,17,37,1,1,1,0,0,0,0,34,1,0,1,0,0,0
4,8,1,7,6,0.0,0.0,4,1,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,22,28,1,0,0,0,0,5,44,0,0,0,0,0,0,0,16,1,0,1,0,0,0
5,3,1,5,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,3,12,0,1,0,0,0,0,2,2,0,2,1,0,0,0,15,1,0,1,1,1,0
11,8,1,28,21,0.0,0.0,7,2,5,2,0,0,5,0,0,0,1,1,0,1,0,0,1,0,17,84,0,1,0,0,0,11,32,18,5,18,1,0,0,4,92,1,0,1,1,1,0
4,8,1,14,28,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,38,50,0,0,0,0,0,0,102,0,0,0,0,0,0,0,17,1,0,1,0,0,0
4,3,1,8,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,5,3,5,0,5,0,0,0,0,15,1,2,1,1,0,0
22,10,1,41,6,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,14,77,0,6,0,0,0,22,84,27,1,27,2,0,0,2,58,1,0,1,1,1,1
12,3,1,23,0,0.0,0.0,2,0,2,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,25,40,0,0,0,0,0,16,39,9,0,9,0,0,0,0,44,1,0,1,1,0,0
16,15,1,56,105,0.0,0.0,15,9,4,2,0,9,13,0,0,0,0,0,0,0,0,0,0,0,87,136,7,0,0,0,0,71,72,21,0,25,0,0,0,3,56,1,1,1,0,0,1
41,10,1,99,28,0.0,0.0,8,0,5,3,0,0,5,0,0,0,1,1,0,1,0,0,1,0,51,115,2,2,0,11,0,36,88,37,3,42,3,0,1,10,116,1,0,1,1,1,1
13,11,1,44,36,0.0,0.0,9,2,7,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,24,197,2,1,1,0,0,7,152,37,1,26,1,0,0,13,55,1,0,1,1,0,1
14,6,1,31,10,0.0,0.0,5,1,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,46,54,1,1,0,0,0,37,61,20,3,19,1,0,0,0,54,1,0,1,1,0,1
10,7,1,10,4,0.0,0.0,5,2,3,2,0,0,3,0,0,0,1,1,0,1,0,0,1,0,32,52,2,2,0,0,0,2,100,9,0,9,1,0,0,0,34,1,0,1,1,0,0
16,11,1,38,8,0.0,0.0,8,2,6,1,0,1,8,0,0,0,3,3,0,0,0,3,3,0,48,72,2,2,0,0,0,88,7,15,3,15,1,0,0,0,78,1,0,1,1,1,1
11,15,1,36,10,0.0,0.0,5,1,4,1,0,0,4,0,0,0,1,1,0,1,0,0,1,0,10,81,0,6,2,4,0,6,26,22,7,20,4,0,0,2,100,1,0,1,1,1,1
7,7,1,35,15,0.0,0.0,6,1,5,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,3,67,1,1,0,0,0,20,27,14,0,14,1,0,0,3,32,1,0,1,1,0,0
6,5,1,28,10,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,16,63,0,0,0,0,0,51,18,10,0,11,0,0,0,2,27,1,0,1,1,0,0
4,10,1,16,15,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,25,98,0,4,0,0,0,0,52,19,4,19,2,0,1,0,39,1,0,1,0,1,0
