file,TestFileName,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,App,ProductionFileName,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/oned/EANManufacturerOrgSupportTest.java,EANManufacturerOrgSupportTest,3,1,2,3,0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,9,0,1,0,1,0,0,0,0,17,17,0,zxing,/home/luana-martins/.jnose_projects/zxing/core/src/main/java/com/google/zxing/oned/EANManufacturerOrgSupport.java,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/oned/rss/expanded/decoders/AI013X0X1XDecoderTest.java,AI013X0X1XDecoderTest,2,9,3,1,34,0.0,0.0,9,0,9,0,0,0,9,0,0,0,8,8,0,8,0,0,8,0,9,55,0,0,0,0,0,17,0,26,9,26,0,0,0,0,43,17,0,zxing,/home/luana-martins/.jnose_projects/zxing/core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/AI013x0x1xDecoder.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/oned/rss/expanded/decoders/AnyAIDecoderTest.java,AnyAIDecoderTest,2,6,3,1,0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,1,0,1,0,0,1,0,6,33,0,0,0,0,0,7,0,13,6,13,0,0,0,0,43,17,0,zxing,/home/luana-martins/.jnose_projects/zxing/core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/AnyAIDecoder.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/oned/rss/expanded/decoders/AI013103DecoderTest.java,AI013103DecoderTest,3,3,3,1,0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,3,17,0,0,0,0,0,5,0,6,3,6,0,0,0,0,28,17,0,zxing,/home/luana-martins/.jnose_projects/zxing/core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/AI013103decoder.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/oned/rss/expanded/decoders/FieldParserTest.java,FieldParserTest,4,3,2,4,3,0.0,0.0,3,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,6,0,2,0,2,0,0,0,0,22,17,0,zxing,/home/luana-martins/.jnose_projects/zxing/core/src/main/java/com/google/zxing/oned/rss/expanded/decoders/FieldParser.java,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/oned/rss/expanded/BinaryUtilTest.java,BinaryUtilTest,5,4,2,9,6,0.0,0.0,4,2,2,2,0,0,2,0,0,0,1,1,0,1,0,0,1,0,13,36,0,0,0,0,0,12,0,14,0,6,0,0,0,0,30,17,0,zxing,/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/oned/rss/expanded/BinaryUtil.java,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/oned/rss/expanded/BitArrayBuilderTest.java,BitArrayBuilderTest,8,7,2,6,3,,,3,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,37,1,1,3,0,0,1,13,12,0,9,2,0,0,0,33,17,0,zxing,/home/luana-martins/.jnose_projects/zxing/core/src/main/java/com/google/zxing/oned/rss/expanded/BitArrayBuilder.java,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/aztec/detector/DetectorTest.java,DetectorTest,12,35,2,34,45,0.0,0.0,10,7,3,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,121,6,17,0,1,2,4,27,40,20,38,5,0,0,0,81,17,0,zxing,/home/luana-martins/.jnose_projects/zxing/core/src/main/java/com/google/zxing/pdf417/detector/Detector.java,4,0,0,0,3,0,0,0,9,0,0,1,0,1,0,0,0,1,0,0,0
/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/aztec/decoder/DecoderTest.java,DecoderTest,13,7,2,13,9,0.0,0.0,7,1,6,1,0,0,6,0,0,0,1,1,0,1,0,0,1,0,17,56,0,0,0,0,0,115,40,24,5,24,0,0,0,0,56,17,0,zxing,/home/luana-martins/.jnose_projects/zxing/core/src/main/java/com/google/zxing/aztec/decoder/Decoder.java,11,0,0,0,1,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,1
/home/luana-martins/.jnose_projects/zxing/core/src/test/java/com/google/zxing/aztec/encoder/EncoderTest.java,EncoderTest,17,50,2,53,398,0.0,0.0,29,11,21,8,0,0,21,0,0,0,8,8,0,8,0,0,8,0,86,261,4,9,5,3,7,222,153,66,43,55,2,0,0,0,240,17,0,zxing,/home/luana-martins/.jnose_projects/zxing/core/src/main/java/com/google/zxing/aztec/encoder/Encoder.java,19,0,0,0,15,0,0,4,14,0,0,7,3,4,0,0,3,3,0,0,1
