name,full_name,Commit,Testes,ssh_url,fork,created_at,updated_at,pushed_at,has_issues,size,stargazers_count,watchers_count,language,has_projects,has_downloads,has_wiki,has_pages,forks_count,archived,disabled,open_issues_count,network_count,default_branch,watchers,subscribers_count
CS-Notes,CyC2018/CS-Notes,No release,,"""git@github.com:CyC2018/CS-Notes.git""",false,2018-02-13T14:56:24Z,2021-04-09T18:38:08Z,2021-04-07T12:31:55Z,true,115070,125582,125582,Java,true,true,true,true,40772,false,false,84,40772,master,125582,5352
JavaGuide,Snailclimb/JavaGuide,No release,,"""git@github.com:Snailclimb/JavaGuide.git""",false,2018-05-07T13:27:00Z,2021-04-16T17:17:11Z,2021-04-16T14:46:43Z,true,53702,102027,102027,Java,true,true,true,false,35162,false,false,50,35162,master,102027,4605
java-design-patterns,iluwatar/java-design-patterns,076310bb79df68ac4afe683f8ed94e105e8b57cb,209,"""git@github.com:iluwatar/java-design-patterns.git""",false,2014-08-09T16:45:18Z,2021-04-12T17:52:07Z,2021-04-12T15:48:11Z,true,26127,65169,65169,Java,false,true,true,false,20729,false,false,244,20729,master,65169,3951
LeetCodeAnimation,MisterBooo/LeetCodeAnimation,No release,,"""git@github.com:MisterBooo/LeetCodeAnimation.git""",false,2018-12-06T08:01:22Z,2021-04-10T01:34:13Z,2020-09-30T01:43:30Z,true,509802,63762,63762,Java,true,true,true,false,12180,false,false,8,12180,master,63762,2569
spring-boot,spring-projects/spring-boot,b1c32f2a8a0572b545f273761947558a9bf58221,208,"""git@github.com:spring-projects/spring-boot.git""",false,2012-10-19T15:02:57Z,2021-04-17T07:57:05Z,2021-04-16T11:25:04Z,true,133616,54594,54594,Java,true,true,true,true,33404,false,false,508,33404,master,54594,3444
elasticsearch,elastic/elasticsearch,7fff5df7a3210fd7c40c6c22635563b4b80647ea,,"""git@github.com:elastic/elasticsearch.git""",false,2010-02-08T13:20:56Z,2021-04-10T08:25:18Z,2021-04-10T10:21:32Z,true,810325,54421,54421,Java,true,true,false,false,19636,false,false,3237,19636,master,54421,2778
interviews,kdn251/interviews,No release,,"""git@github.com:kdn251/interviews.git""",false,2017-02-14T18:19:25Z,2021-04-13T09:22:54Z,2021-03-10T08:57:00Z,true,24091,50897,50897,Java,true,true,true,false,10846,false,false,91,10846,master,50897,2606
mall,macrozheng/mall,Jnose no,,"""git@github.com:macrozheng/mall.git""",false,2018-04-04T01:11:44Z,2021-04-08T15:57:00Z,2021-04-07T12:47:13Z,true,57487,48088,48088,Java,true,true,true,false,20678,false,false,20,20678,master,48088,2105
RxJava,ReactiveX/RxJava,0792e059237ec804f2992ebd665fd0a65020698c,204,"""git@github.com:ReactiveX/RxJava.git""",false,2013-01-08T20:11:48Z,2021-04-18T15:27:32Z,2021-04-17T16:21:49Z,true,127540,44478,44478,Java,true,true,true,true,7405,false,false,9,7405,3.x,44478,2311
spring-framework,spring-projects/spring-framework,e4a5d2aaa59266b294e155c4fd80b9ef3e852330,,"""git@github.com:spring-projects/spring-framework.git""",false,2010-12-08T04:04:45Z,2021-04-17T08:27:22Z,2021-04-16T18:56:09Z,true,167273,42363,42363,Java,true,true,true,true,29532,false,false,1245,29532,master,42363,3487
guava,google/guava,db6580e80e49b673b790164c08a5fc64380fc4e5,16,"""git@github.com:google/guava.git""",false,2014-05-29T16:23:17Z,2021-04-12T15:05:44Z,2021-04-12T09:36:59Z,true,317853,40820,40820,Java,true,true,true,true,9124,false,false,739,9124,master,40820,2477
okhttp,square/okhttp,f62173afbb67623c4afa87549dc48cf2d3123d96,1,"""git@github.com:square/okhttp.git""",false,2012-07-23T13:42:55Z,2021-04-17T08:43:00Z,2021-04-16T05:35:10Z,true,40354,39799,39799,Java,false,true,false,true,8465,false,false,102,8465,master,39799,1678
retrofit,square/retrofit,bc119896a328cb314df279b26cc68eebd19c4b31,19,"""git@github.com:square/retrofit.git""",false,2010-09-06T21:39:43Z,2021-04-17T08:43:06Z,2021-04-10T10:17:47Z,true,5508,37916,37916,Java,false,true,true,true,6822,false,false,140,6822,master,37916,1620
Java,TheAlgorithms/Java,No Jnose,,"""git@github.com:TheAlgorithms/Java.git""",false,2016-07-16T10:21:02Z,2021-04-16T22:29:00Z,2021-04-15T14:20:40Z,true,2465,36546,36546,Java,true,true,true,false,12284,false,false,732,12284,master,36546,2287
